Year,Month,Day,Source,Power
2018,1,25,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.059, 0.154, 0.311, 0.435, 0.468, 0.357, 0.279, 0.181, 0.052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,26,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013, 0.242, 0.535, 0.642, 0.539, 0.44, 0.399, 0.373, 0.274, 0.101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,27,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.191, 0.497, 0.639, 0.637, 0.612, 0.569, 0.467, 0.311, 0.097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,28,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.057, 0.107, 0.164, 0.212, 0.404, 0.525, 0.523, 0.375, 0.124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,29,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.162, 0.497, 0.651, 0.715, 0.722, 0.672, 0.553, 0.362, 0.136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,30,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.224, 0.499, 0.623, 0.676, 0.703, 0.651, 0.539, 0.348, 0.112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,31,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026, 0.14, 0.284, 0.36, 0.437, 0.485, 0.487, 0.405, 0.204, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,1,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022, 0.09, 0.185, 0.187, 0.162, 0.215, 0.406, 0.463, 0.241, 0.038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,2,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036, 0.259, 0.539, 0.565, 0.624, 0.561, 0.553, 0.484, 0.369, 0.161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,3,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.417, 0.599, 0.712, 0.769, 0.773, 0.722, 0.611, 0.438, 0.194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,4,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.033, 0.085, 0.173, 0.313, 0.388, 0.394, 0.314, 0.19, 0.049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,5,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029, 0.146, 0.327, 0.481, 0.496, 0.485, 0.475, 0.328, 0.132, 0.035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,6,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061, 0.325, 0.518, 0.583, 0.565, 0.477, 0.329, 0.205, 0.114, 0.038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,7,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.144, 0.427, 0.609, 0.725, 0.783, 0.787, 0.742, 0.635, 0.463, 0.213, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,8,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.137, 0.412, 0.6, 0.722, 0.782, 0.786, 0.738, 0.636, 0.47, 0.225, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,9,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.159, 0.423, 0.577, 0.651, 0.667, 0.719, 0.724, 0.611, 0.442, 0.197, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,10,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041, 0.142, 0.187, 0.277, 0.449, 0.666, 0.7, 0.58, 0.406, 0.166, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,11,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.075, 0.316, 0.559, 0.671, 0.726, 0.728, 0.674, 0.56, 0.386, 0.148, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,12,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.039, 0.083, 0.109, 0.122, 0.126, 0.124, 0.145, 0.126, 0.044, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,13,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.176, 0.423, 0.585, 0.67, 0.712, 0.717, 0.706, 0.614, 0.441, 0.204, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,14,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021, 0.149, 0.324, 0.536, 0.649, 0.63, 0.516, 0.365, 0.207, 0.089, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,15,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023, 0.103, 0.228, 0.386, 0.644, 0.66, 0.64, 0.472, 0.217, 0.068, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,16,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048, 0.191, 0.351, 0.483, 0.574, 0.552, 0.48, 0.388, 0.31, 0.145, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,17,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.077, 0.187, 0.434, 0.688, 0.758, 0.762, 0.714, 0.613, 0.45, 0.222, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,18,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051, 0.161, 0.305, 0.501, 0.578, 0.688, 0.674, 0.58, 0.389, 0.169, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,19,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.159, 0.484, 0.647, 0.688, 0.655, 0.573, 0.476, 0.339, 0.145, 0.009, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,20,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.099, 0.342, 0.585, 0.694, 0.748, 0.753, 0.682, 0.52, 0.263, 0.09, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,21,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.343, 0.603, 0.712, 0.789, 0.799, 0.753, 0.654, 0.482, 0.241, 0.019, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,22,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.226, 0.464, 0.641, 0.756, 0.813, 0.818, 0.771, 0.669, 0.506, 0.277, 0.035, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,23,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.249, 0.485, 0.66, 0.775, 0.833, 0.837, 0.79, 0.689, 0.527, 0.298, 0.045, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,24,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.228, 0.465, 0.638, 0.752, 0.808, 0.813, 0.765, 0.664, 0.503, 0.279, 0.041, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,25,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.18, 0.33, 0.507, 0.757, 0.78, 0.743, 0.65, 0.493, 0.271, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,26,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.217, 0.45, 0.621, 0.728, 0.78, 0.778, 0.674, 0.491, 0.28, 0.126, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,27,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016, 0.059, 0.089, 0.147, 0.202, 0.238, 0.386, 0.444, 0.38, 0.162, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,2,28,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.165, 0.255, 0.335, 0.403, 0.383, 0.275, 0.194, 0.099, 0.038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,1,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043, 0.1, 0.097, 0.162, 0.258, 0.2, 0.234, 0.193, 0.102, 0.066, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,2,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016, 0.068, 0.098, 0.083, 0.082, 0.119, 0.139, 0.165, 0.153, 0.066, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,3,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023, 0.16, 0.364, 0.456, 0.458, 0.544, 0.515, 0.172, 0.106, 0.04, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,4,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033, 0.123, 0.187, 0.168, 0.16, 0.19, 0.247, 0.303, 0.259, 0.151, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,5,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.044, 0.094, 0.09, 0.194, 0.215, 0.278, 0.292, 0.213, 0.098, 0.043, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,6,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022, 0.085, 0.103, 0.124, 0.173, 0.428, 0.407, 0.317, 0.151, 0.039, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,7,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049, 0.168, 0.427, 0.729, 0.792, 0.657, 0.643, 0.668, 0.475, 0.277, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,8,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.077, 0.166, 0.333, 0.498, 0.562, 0.523, 0.417, 0.331, 0.166, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,9,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059, 0.16, 0.243, 0.432, 0.642, 0.587, 0.531, 0.46, 0.307, 0.213, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,10,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.078, 0.291, 0.492, 0.508, 0.4, 0.261, 0.183, 0.169, 0.148, 0.111, 0.043, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,11,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047, 0.227, 0.453, 0.332, 0.352, 0.417, 0.326, 0.285, 0.265, 0.088, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,12,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038, 0.152, 0.279, 0.531, 0.755, 0.784, 0.749, 0.656, 0.507, 0.3, 0.059, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,13,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026, 0.077, 0.133, 0.207, 0.317, 0.582, 0.627, 0.539, 0.341, 0.147, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,14,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021, 0.171, 0.191, 0.215, 0.192, 0.235, 0.19, 0.183, 0.259, 0.086, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,15,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023, 0.126, 0.516, 0.686, 0.736, 0.703, 0.602, 0.492, 0.377, 0.227, 0.057, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,16,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.061, 0.196, 0.492, 0.586, 0.493, 0.441, 0.421, 0.359, 0.274, 0.156, 0.038, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,17,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.023, 0.055, 0.096, 0.175, 0.23, 0.251, 0.208, 0.139, 0.073, 0.034, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,18,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033, 0.076, 0.127, 0.45, 0.588, 0.517, 0.528, 0.523, 0.412, 0.245, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,19,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.032, 0.09, 0.241, 0.494, 0.648, 0.608, 0.554, 0.447, 0.307, 0.108, 0.021, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,20,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016, 0.147, 0.42, 0.478, 0.384, 0.358, 0.421, 0.467, 0.353, 0.131, 0.086, 0.044, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,21,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027, 0.257, 0.485, 0.674, 0.786, 0.84, 0.842, 0.797, 0.701, 0.55, 0.345, 0.109, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,22,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033, 0.274, 0.503, 0.674, 0.784, 0.839, 0.842, 0.796, 0.7, 0.55, 0.346, 0.111, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,23,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.151, 0.375, 0.622, 0.658, 0.579, 0.635, 0.479, 0.114, 0.047, 0.028, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,24,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.225, 0.382, 0.468, 0.58, 0.585, 0.598, 0.549, 0.463, 0.323, 0.187, 0.058, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,3,26,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028, 0.195, 0.464, 0.628, 0.722, 0.754, 0.728, 0.683, 0.573, 0.452, 0.311, 0.107, 0.0, 0.0, 0.0, 0.0]"
2018,3,27,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038, 0.253, 0.464, 0.62, 0.726, 0.779, 0.784, 0.742, 0.653, 0.513, 0.324, 0.11, 0.0, 0.0, 0.0, 0.0]"
2018,3,28,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.253, 0.463, 0.617, 0.72, 0.775, 0.781, 0.741, 0.656, 0.52, 0.333, 0.116, 0.0, 0.0, 0.0, 0.0]"
2018,3,29,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013, 0.083, 0.272, 0.602, 0.724, 0.788, 0.798, 0.757, 0.663, 0.525, 0.336, 0.117, 0.0, 0.0, 0.0, 0.0]"
2018,3,30,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.019, 0.061, 0.15, 0.389, 0.655, 0.664, 0.673, 0.578, 0.444, 0.276, 0.094, 0.0, 0.0, 0.0, 0.0]"
2018,3,31,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.092, 0.306, 0.626, 0.758, 0.822, 0.824, 0.781, 0.688, 0.541, 0.344, 0.122, 0.0, 0.0, 0.0, 0.0]"
2018,4,1,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047, 0.251, 0.429, 0.556, 0.576, 0.596, 0.6, 0.56, 0.447, 0.308, 0.168, 0.056, 0.0, 0.0, 0.0, 0.0]"
2018,4,2,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018, 0.105, 0.22, 0.368, 0.528, 0.543, 0.463, 0.358, 0.276, 0.19, 0.108, 0.039, 0.0, 0.0, 0.0, 0.0]"
2018,4,3,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017, 0.118, 0.437, 0.601, 0.713, 0.775, 0.785, 0.743, 0.656, 0.502, 0.313, 0.104, 0.001, 0.0, 0.0, 0.0]"
2018,4,4,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.108, 0.361, 0.601, 0.7, 0.749, 0.723, 0.67, 0.581, 0.455, 0.297, 0.112, 0.002, 0.0, 0.0, 0.0]"
2018,4,5,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048, 0.219, 0.444, 0.61, 0.721, 0.772, 0.764, 0.688, 0.57, 0.411, 0.249, 0.082, 0.002, 0.0, 0.0, 0.0]"
2018,4,6,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035, 0.143, 0.25, 0.328, 0.377, 0.492, 0.564, 0.566, 0.521, 0.386, 0.222, 0.08, 0.002, 0.0, 0.0, 0.0]"
2018,4,7,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026, 0.124, 0.245, 0.332, 0.367, 0.347, 0.295, 0.229, 0.156, 0.104, 0.068, 0.027, 0.001, 0.0, 0.0, 0.0]"
